step,episode_reward
0,25.556751251220703
25000,83.98854064941406
50000,102.38835906982422
75000,123.37846374511719
100000,135.7458038330078
125000,108.33011627197266
150000,180.09231567382812
175000,197.188232421875
200000,211.2992706298828
225000,197.29598999023438
250000,185.44613647460938
275000,249.22720336914062
300000,242.1128387451172
325000,268.6627197265625
350000,265.2193603515625
375000,287.09478759765625
400000,245.14749145507812
425000,226.09130859375
450000,247.9128875732422
475000,280.2082824707031
500000,298.77825927734375
